Source Node,Target Node,Pair Count,SNDomain,TNDomain,year
DC microgrid,dc microgrid,9,EPS-Source,EPS-Source,2000
Compressed air energy storage,energy storage,7,EPS-Source,EPS-Source,2000
Distributed generation,PV,30,EPS-Source,EPS-Source,2000
fuel cell,PV,12,EPS-Source,EPS-Source,2000
hybrid system,PV,10,EPS-Source,EPS-Source,2000
microgrid,PV,58,EPS-Source,EPS-Source,2000
photovoltaic,PV,45,EPS-Source,EPS-Source,2000
power management,PV,18,EPS-Load,EPS-Source,2000
fuzzy logic,DG,8,EPS-Store,EPS-Source,2000
microgrid,DG,11,EPS-Source,EPS-Source,2000
Micro-Grid,MG,13,EPS-Source,EPS-Source,2000
Islanding,MG,7,EPS-Source,EPS-Source,2000
Wind power smoothing,MG,7,EPS-Source,EPS-Source,2000
smart grid,DC,41,EPS-Source,EPS-Source,2000
dc distribution,DC,10,EPS-Source,EPS-Source,2000
droop characteristic,DC,10,EPS-Source,EPS-Source,2000
controllable loads,DC,10,EPS-Source,EPS-Source,2000
Distributed generation,DC,13,EPS-Source,EPS-Source,2000
DC Micro-grid,DC,17,EPS-Source,EPS-Source,2000
Energy Management,DC,12,EPS-Source,EPS-Source,2000
Wind Power Generation,DC,9,EPS-Source,EPS-Source,2000
Photo-Voltaic Generation,DC,9,EPS-Source,EPS-Source,2000
Fuel Cell Generation,DC,9,EPS-Source,EPS-Source,2000
Energy Storage,DC,9,EPS-Source,EPS-Source,2000
MSS,energy storage,9,EPS-Source,EPS-Source,2000
Micro-storage system,energy storage,9,EPS-Source,EPS-Source,2000
DG,energy storage,21,EPS-Source,EPS-Source,2000
distributed generation,energy storage,15,EPS-Source,EPS-Source,2000
PV,energy storage,31,EPS-Source,EPS-Source,2000
photovoltaic,energy storage,11,EPS-Source,EPS-Source,2000
SM,energy storage,9,EPS-Source,EPS-Source,2000
smart meter,energy storage,11,EPS-Source,EPS-Source,2000
SCADA,energy storage,9,IOT-Network,EPS-Source,2000
supervisory control and data acquisition,energy storage,9,EPS-Source,EPS-Source,2000
Smart Grid,power quality,11,EPS-Source,EPS-Source,2000
Power Quality,power quality,37,EPS-Source,EPS-Source,2000
smart grid,DG,14,EPS-Source,EPS-Source,2000
energy storage,power management,7,EPS-Source,EPS-Load,2000
microgrid,power management,15,EPS-Source,EPS-Load,2000
supercapacitor,power management,7,EPS-Source,EPS-Load,2000
smart grid,smart grids,33,EPS-Source,EPS-Source,2000
Distributed Generation,DG,18,EPS-Source,EPS-Source,2000
Transient Stability,DG,7,EPS-Source,EPS-Source,2000
Rotor Angle,DG,7,EPS-Source,EPS-Source,2000
Voltage Stability,DG,7,EPS-Source,EPS-Source,2000
Synchronous Generator,DG,7,EPS-Source,EPS-Source,2000
Short Circuit Fault,DG,7,EPS-Source,EPS-Source,2000
Internet of Things,IoT,219,IOT-App,IOT-App,2000
Smart Grid,IoT,10,EPS-Source,IOT-App,2000
Wireless Sensor Network,IoT,10,IOT-Network,IOT-App,2000
smart grid,power line,13,EPS-Source,EPS-Source,2000
Smart Grid,QoS,12,EPS-Source,IOT-App,2000
Smart Grid,power line,10,EPS-Source,EPS-Source,2000
Smart Grid,energy storage,28,EPS-Source,EPS-Source,2000
Renewable Energy,energy storage,14,EPS-Source,EPS-Source,2000
Energy Storage,energy storage,10,EPS-Source,EPS-Source,2000
Smart grid,smart grids,48,EPS-Source,EPS-Source,2000
harmonic losses,smart grids,9,EPS-Source,EPS-Source,2000
K-factor,smart grids,9,EPS-Source,EPS-Source,2000
load management and nonlinear transformer,smart grids,9,EPS-Source,EPS-Source,2000
Smart grid,power quality,17,EPS-Source,EPS-Source,2000
harmonic losses,power quality,12,EPS-Source,EPS-Source,2000
K-factor,power quality,12,EPS-Source,EPS-Source,2000
load management and nonlinear transformer,power quality,12,EPS-Source,EPS-Source,2000
Optimal power flow,optimal power flow,10,EPS-Source,EPS-Source,2000
Distributed Generation,energy storage,8,EPS-Source,EPS-Source,2000
smart meters,smart meter,23,EPS-Source,EPS-Source,2000
cloud computing,smart meter,7,EPS-Grid,EPS-Source,2000
demand response,DR,66,EPS-Source,EPS-Source,2000
smart grid,DR,35,EPS-Source,EPS-Source,2000
Demand Response,smart grids,9,EPS-Source,EPS-Source,2000
Demand Response,DR,25,EPS-Source,EPS-Source,2000
Smart Grid,DR,28,EPS-Source,EPS-Source,2000
Smart Meter,smart meter,16,EPS-Source,EPS-Source,2000
microgrid,power quality,8,EPS-Source,EPS-Source,2000
plug-in hybrid electric vehicle,hybrid electric vehicles,9,EPS-Source,EPS-Source,2000
Microgrid,power quality,10,EPS-Source,EPS-Source,2000
Power quality,power quality,17,EPS-Source,EPS-Source,2000
microgrid,DC,26,EPS-Source,EPS-Source,2000
distributed generation,DC,25,EPS-Source,EPS-Source,2000
DC distribution,DC,14,EPS-Source,EPS-Source,2000
high-quality power,DC,7,EPS-Source,EPS-Source,2000
Electric vehicles,electric vehicle,7,EPS-Grid,EPS-Grid,2000
Plug-in electric vehicle,PEVs,13,EPS-Source,IOT-Percept,2000
Vehicle-to-Grid,vehicle-to-grid,7,EPS-Source,EPS-Source,2000
smart grid,PHEVs,17,EPS-Source,EPS-Load,2000
vehicle to grid,PHEVs,10,EPS-Source,EPS-Load,2000
electric vehicle,EVs,18,EPS-Grid,EPS-Source,2000
vehicle-to-grid,EVs,8,EPS-Source,EPS-Source,2000
smart grid,EVs,33,EPS-Source,EPS-Source,2000
microgrids,energy storage,9,EPS-Source,EPS-Source,2000
Battery Energy Storage System,energy storage system,9,EPS-Source,EPS-Store,2000
Smart grid,PV,7,EPS-Source,EPS-Source,2000
PV power generation,PV,7,EPS-Source,EPS-Source,2000
RFID Context,IoT,8,EPS-Source,IOT-App,2000
service selection,IoT,8,EPS-Source,IOT-App,2000
RFID middleware,IoT,8,EPS-Source,IOT-App,2000
Internet of things,IoT,63,EPS-Source,IOT-App,2000
Resource constraint,IoT,8,EPS-Source,IOT-App,2000
6LoWPAN,IoT,13,EPS-Store,IOT-App,2000
RFID,IoT,30,IOT-Network,IOT-App,2000
NFC,IoT,8,EPS-Source,IOT-App,2000
security,IoT,19,EPS-Source,IOT-App,2000
wireless sensor network,IoT,27,EPS-Store,IOT-App,2000
Business Process Management,BPM,8,EPS-Source,EPS-Source,2000
BPM-in-the-Large,BPM,8,EPS-Source,EPS-Source,2000
abstraction,BPM,8,EPS-Source,EPS-Source,2000
complexity,BPM,8,EPS-Source,EPS-Source,2000
Programming-in-the-Large,BPM,8,EPS-Source,EPS-Source,2000
sensor networks,IoT,7,EPS-Store,IOT-App,2000
wireless sensor networks,Internet of Things,10,IOT-App,IOT-App,2000
Cloud computing,IoT,20,IOT-App,IOT-App,2000
Internet of things,Internet of Things,9,EPS-Source,IOT-App,2000
Microgrid,energy storage,29,EPS-Source,EPS-Source,2000
Distributed generation,energy storage,10,EPS-Source,EPS-Source,2000
Energy management,PV,10,EPS-Source,EPS-Source,2000
Smart grids,smart grids,8,EPS-Grid,EPS-Source,2000
Fuel cell,DC,10,EPS-Source,EPS-Source,2000
Benders decomposition,EPS,7,EPS-Source,EPS-Source,2000
DC microgrid,DC,49,EPS-Source,EPS-Source,2000
renewable energy sources,DC,19,EPS-Source,EPS-Source,2000
Distributed generation,DG,15,EPS-Source,EPS-Source,2000
cyber-physical power infrastructure,power infrastructure,9,EPS-Grid,EPS-Grid,2000
demand management,power infrastructure,9,EPS-Grid,EPS-Grid,2000
PHEV,power infrastructure,9,EPS-Grid,EPS-Grid,2000
smart grid,power infrastructure,9,EPS-Source,EPS-Grid,2000
Microgrid,PV,37,EPS-Source,EPS-Source,2000
Protection,DC,8,EPS-Grid,EPS-Source,2000
Distributed power generation,India,9,EPS-Grid,EPS-Grid,2000
Electric vehicles,India,9,EPS-Grid,EPS-Grid,2000
Electricity,India,9,EPS-Grid,EPS-Grid,2000
Energy storage,India,11,EPS-Grid,EPS-Grid,2000
Hydroelectric power generation,India,9,EPS-Grid,EPS-Grid,2000
Real time systems,India,9,EPS-Grid,EPS-Grid,2000
Rivers,India,9,EPS-Grid,EPS-Grid,2000
Smart grids,India,9,EPS-Grid,EPS-Grid,2000
Transmission lines,India,9,EPS-Grid,EPS-Grid,2000
Transportation,India,9,EPS-Grid,EPS-Grid,2000
Electric vehicles,EVs,29,EPS-Grid,EPS-Source,2000
Energy storage,EVs,13,EPS-Grid,EPS-Source,2000
Smart grids,EVs,9,EPS-Grid,EPS-Source,2000
Energy storage system,energy storage,9,EPS-Grid,EPS-Source,2000
Energy fraction,PV,7,EPS-Grid,EPS-Source,2000
Performance evaluation,PV,7,IOT-App,EPS-Source,2000
PV Generator,PV,7,EPS-Grid,EPS-Source,2000
Micro-grid,DC,11,EPS-Store,EPS-Source,2000
BESS,energy storage system,19,IOT-Network,EPS-Store,2000
microgrid,energy storage,42,EPS-Source,EPS-Source,2000
IEC 61850,IEC,7,EPS-Grid,EPS-Source,2000
HTS cable,HTS,7,EPS-Grid,EPS-Grid,2000
power line communication,power line,8,EPS-Grid,EPS-Source,2000
WiFi-based WSN,IoT,8,EPS-Grid,IOT-App,2000
Application,IoT,8,EPS-Grid,IOT-App,2000
Smart Grid,WSN,10,EPS-Source,IOT-Network,2000
Smart Grid,smart meter,13,EPS-Source,EPS-Source,2000
Smart grid,DC,9,EPS-Source,EPS-Source,2000
smart grid,SG,7,EPS-Source,EPS-Source,2000
smart grid,electric vehicle,27,EPS-Source,EPS-Grid,2000
Demand response,DR,9,EPS-Source,EPS-Source,2000
smart meter,NILL,8,EPS-Source,EPS-Grid,2000
privacy,NILL,8,EPS-Source,EPS-Grid,2000
load monitor,NILL,8,EPS-Grid,EPS-Grid,2000
plug-in electric vehicles,PEVs,13,EPS-Grid,IOT-Percept,2000
Battery energy storage system,energy storage,17,EPS-Grid,EPS-Source,2000
Smart grid,energy storage,12,EPS-Source,EPS-Source,2000
smart grid,PEVs,14,EPS-Source,IOT-Percept,2000
microgrid,MG,17,EPS-Source,EPS-Source,2000
PEV,PEVs,12,EPS-Grid,IOT-Percept,2000
PHEV,PHEVs,24,EPS-Grid,EPS-Load,2000
Plug-in Hybrid Electric Vehicles,PHEVs,13,EPS-Grid,EPS-Load,2000
Microgrid,power management,7,EPS-Source,EPS-Load,2000
Smart Grid,PHEVs,16,EPS-Source,EPS-Load,2000
microgrid,BESS,9,EPS-Source,IOT-Network,2000
battery energy storage system,energy storage system,8,EPS-Grid,EPS-Store,2000
Internet,RFID,8,EPS-Grid,IOT-Network,2000
Radio frequency identification,RFID,17,EPS-Grid,IOT-Network,2000
Middleware RFID,RFID,12,EPS-Grid,IOT-Network,2000
Internet of things,RFID,23,EPS-Source,IOT-Network,2000
Mobile devices,RFID,12,EPS-Grid,IOT-Network,2000
Embedded framework,RFID,12,EPS-Grid,IOT-Network,2000
Pervasive computing,RFID,12,EPS-Grid,IOT-Network,2000
internet of things,RFID,7,EPS-Store,IOT-Network,2000
Internet of Things,RFID,39,IOT-App,IOT-Network,2000
Collaborative wireless sensor networks,wireless sensor networks,8,EPS-Grid,IOT-App,2000
Collaboration,wireless sensor networks,8,EPS-Grid,IOT-App,2000
CPS,wireless sensor networks,8,IOT-App,IOT-App,2000
Cyber physical systems,wireless sensor networks,8,EPS-Grid,IOT-App,2000
IOT,wireless sensor networks,8,EPS-Load,IOT-App,2000
Internet of things,wireless sensor networks,13,EPS-Source,IOT-App,2000
smart home,smart home system,8,EPS-Grid,IOT-App,2000
control system,smart home system,8,EPS-Grid,IOT-App,2000
Internet of Things,smart home system,8,IOT-App,IOT-App,2000
Mobile IPv6,IPv6,14,EPS-Grid,EPS-Store,2000
Security,IPv6,8,EPS-Grid,EPS-Store,2000
cloud computing,IoT,12,EPS-Grid,IOT-App,2000
Internet of Things,WSN,15,IOT-App,IOT-Network,2000
Wireless Sensor Network,WSN,8,IOT-Network,IOT-Network,2000
Wireless sensor network,IPv6,10,EPS-Store,EPS-Store,2000
internet of things,Internet of Things,19,EPS-Store,IOT-App,2000
Microgrid,MG,12,EPS-Source,EPS-Source,2000
Smart grid,power management,8,EPS-Source,EPS-Load,2000
Photovoltaic,PV,26,EPS-Grid,EPS-Source,2000
PV power prediction,PV,7,EPS-Grid,EPS-Source,2000
grid integration,PV,7,EPS-Grid,EPS-Source,2000
irradiance prediction,PV,7,EPS-Grid,EPS-Source,2000
PV simulation,PV,7,EPS-Grid,EPS-Source,2000
plug-in electric vehicles,electric vehicle,9,EPS-Grid,EPS-Grid,2000
V2G,PEVs,13,EPS-Store,IOT-Percept,2000
PV,DC,8,EPS-Source,EPS-Source,2000
MG,MGs,8,EPS-Source,IOT-Compute,2000
FC,power management,7,EPS-Grid,EPS-Load,2000
Carbon emissions,EVs,9,EPS-Store,EPS-Source,2000
Combined heat and power,EVs,9,EPS-Load,EPS-Source,2000
Commercial buildings,EVs,9,EPS-Store,EPS-Source,2000
Distributed energy resources,EVs,9,EPS-Source,EPS-Source,2000
Electric vehicle,EVs,14,EPS-Store,EPS-Source,2000
Load shifting,EVs,9,EPS-Load,EPS-Source,2000
Microgrid,EVs,9,EPS-Source,EPS-Source,2000
Optimization,EVs,9,EPS-Source,EPS-Source,2000
Smart grid,EVs,17,EPS-Source,EPS-Source,2000
Storage technologies,EVs,9,EPS-Store,EPS-Source,2000
Battery energy storage systems,energy storage,8,IOT-App,EPS-Source,2000
renewables,energy storage,8,EPS-Store,EPS-Source,2000
smart grid,energy storage,18,EPS-Source,EPS-Source,2000
solar,energy storage,8,EPS-Store,EPS-Source,2000
renewable energy,energy storage,11,EPS-Store,EPS-Source,2000
Microgrid,CO2,9,EPS-Source,EPS-Store,2000
V2G,vehicle-to-grid,7,EPS-Store,EPS-Source,2000
Smart Grid,PV,10,EPS-Source,EPS-Source,2000
MPPT,Photovoltaic,8,EPS-Store,EPS-Grid,2000
PMSG,DC,7,EPS-Store,EPS-Source,2000
Photovoltaic power systems,PV,10,EPS-Store,EPS-Source,2000
power quality,PV,12,EPS-Source,EPS-Source,2000
building management systems,PV,10,EPS-Store,EPS-Source,2000
cooperative systems,PV,10,EPS-Store,EPS-Source,2000
MPPT,DC,9,EPS-Store,EPS-Source,2000
voltage source converter,power quality,8,IOT-Compute,EPS-Source,2000
Energy Management,PV,10,EPS-Source,EPS-Source,2000
Battery,DC,12,EPS-Store,EPS-Source,2000
Micro grid,energy storage,8,EPS-Source,EPS-Source,2000
Energy balance,energy storage,8,EPS-Store,EPS-Source,2000
Power and Energy density,energy storage,8,EPS-Store,EPS-Source,2000
Load fluctuations,energy storage,8,EPS-Store,EPS-Source,2000
Stand-alone Smart Grid,renewable energy resources,8,EPS-Store,EPS-Store,2000
Renewable Energy,renewable energy resources,8,EPS-Source,EPS-Store,2000
Pulau Ubin,renewable energy resources,8,EPS-Store,EPS-Store,2000
Electric vehicle,electric vehicle,10,EPS-Store,EPS-Grid,2000
charging station,EDV,9,EPS-Store,EPS-Store,2000
