Source Node,Target Node,Pair Count,SNDomain,TNDomain,year
DC microgrid,dc microgrid,9,EPS-Source,IOT-Network,2000
distributed generation,dc microgrid,6,EPS-Source,IOT-Network,2000
Compressed air energy storage,energy storage,7,EPS-Source,EPS-Source,2000
Distributed generation,PV,30,EPS-Source,EPS-Source,2000
fuel cell,PV,12,EPS-Source,EPS-Source,2000
hybrid system,PV,10,EPS-Load,EPS-Source,2000
microgrid,PV,58,EPS-Source,EPS-Source,2000
photovoltaic,PV,45,EPS-Source,EPS-Source,2000
power management,PV,18,EPS-Load,EPS-Source,2000
fuzzy logic,DG,8,EPS-Store,EPS-Source,2000
microgrid,DG,11,EPS-Source,EPS-Source,2000
Micro-Grid,MG,13,EPS-Source,EPS-Load,2000
Islanding,MG,7,EPS-Source,EPS-Load,2000
Wind power smoothing,MG,7,EPS-Source,EPS-Load,2000
Distributed Generation,distributed generation units,6,EPS-Source,EPS-Source,2000
Microgrid,distributed generation units,6,EPS-Source,EPS-Source,2000
Microturbine,distributed generation units,6,EPS-Source,EPS-Source,2000
Fuel Cell,distributed generation units,6,EPS-Source,EPS-Source,2000
Photovoltaic,distributed generation units,6,EPS-Grid,EPS-Source,2000
Inverter,distributed generation units,6,EPS-Source,EPS-Source,2000
Micro-Grid,CO2,6,EPS-Source,EPS-Source,2000
house,CO2,6,EPS-Source,EPS-Source,2000
dispersed generator,CO2,6,EPS-Source,EPS-Source,2000
cogeneration,CO2,6,EPS-Source,EPS-Source,2000
fuel cell,CO2,6,EPS-Source,EPS-Source,2000
demand and supply,CO2,6,EPS-Source,EPS-Source,2000
planning,CO2,6,EPS-Source,EPS-Source,2000
CO2 emissions,CO2,6,IOT-Network,EPS-Source,2000
distributed generation,distributed generation units,5,EPS-Source,EPS-Source,2000
smart grid,DC,41,EPS-Source,EPS-Source,2000
dc distribution,DC,10,EPS-Source,EPS-Source,2000
droop characteristic,DC,10,EPS-Source,EPS-Source,2000
controllable loads,DC,10,EPS-Source,EPS-Source,2000
Distributed generation,DC,13,EPS-Source,EPS-Source,2000
DC Micro-grid,DC,17,EPS-Source,EPS-Source,2000
Energy Management,DC,12,EPS-Load,EPS-Source,2000
Wind Power Generation,DC,9,EPS-Source,EPS-Source,2000
Photo-Voltaic Generation,DC,9,EPS-Source,EPS-Source,2000
Fuel Cell Generation,DC,9,EPS-Source,EPS-Source,2000
Energy Storage,DC,9,EPS-Source,EPS-Source,2000
Super-Capacitor,DC,6,EPS-Source,EPS-Source,2000
photovoltaic power generation,PV,6,EPS-Source,EPS-Source,2000
NaS battery,PV,6,EPS-Source,EPS-Source,2000
supply-demand power imbalance over 30-min,PV,6,EPS-Source,EPS-Source,2000
MSS,energy storage,9,EPS-Source,EPS-Source,2000
Micro-storage system,energy storage,9,EPS-Source,EPS-Source,2000
DG,energy storage,21,EPS-Source,EPS-Source,2000
distributed generation,energy storage,15,EPS-Source,EPS-Source,2000
PV,energy storage,31,EPS-Source,EPS-Source,2000
photovoltaic,energy storage,11,EPS-Source,EPS-Source,2000
SM,energy storage,9,EPS-Source,EPS-Source,2000
smart meter,energy storage,11,EPS-Source,EPS-Source,2000
SCADA,energy storage,9,IOT-Network,EPS-Source,2000
supervisory control and data acquisition,energy storage,9,EPS-Source,EPS-Source,2000
smart grid,AC,6,EPS-Source,IOT-Percept,2000
distributed generation,AC,6,EPS-Source,IOT-Percept,2000
microgrid,AC,6,EPS-Source,IOT-Percept,2000
smart grid,power dispatch,6,EPS-Source,EPS-Source,2000
Smart Grid,power quality,11,EPS-Source,EPS-Source,2000
Power Quality,power quality,37,EPS-Source,EPS-Source,2000
smart grid,DG,14,EPS-Source,EPS-Source,2000
energy storage,power management,7,EPS-Source,EPS-Load,2000
microgrid,power management,15,EPS-Source,EPS-Load,2000
supercapacitor,power management,7,IOT-Network,EPS-Load,2000
smart grid,smart grids,33,EPS-Source,EPS-Source,2000
Distributed Generation,DG,18,EPS-Source,EPS-Source,2000
Transient Stability,DG,7,EPS-Source,EPS-Source,2000
Rotor Angle,DG,7,EPS-Source,EPS-Source,2000
Voltage Stability,DG,7,EPS-Source,EPS-Source,2000
Synchronous Generator,DG,7,EPS-Source,EPS-Source,2000
Short Circuit Fault,DG,7,EPS-Source,EPS-Source,2000
Internet of Things,IoT,219,IOT-App,IOT-App,2000
Smart Grid,IoT,10,EPS-Source,IOT-App,2000
Wireless Sensor Network,IoT,10,IOT-App,IOT-App,2000
smart grid,power line,13,EPS-Source,EPS-Source,2000
