Source Node,Target Node,Pair Count,SNDomain,TNDomain,year
DC microgrid,dc microgrid,9,EPS-Source,IOT-Network,2000
DG,dc microgrid,4,EPS-Source,IOT-Network,2000
distributed generation,dc microgrid,6,EPS-Source,IOT-Network,2000
high-quality power,dc microgrid,4,EPS-Source,IOT-Network,2000
intentional islanding,dc microgrid,4,EPS-Source,IOT-Network,2000
three-wire dc distribution,dc microgrid,4,EPS-Source,IOT-Network,2000
Current control,wind farm,4,EPS-Load,EPS-Source,2000
frequency control,wind farm,4,IOT-Compute,EPS-Source,2000
HVdc transmission control,wind farm,4,EPS-Source,EPS-Source,2000
power generation control,wind farm,4,EPS-Load,EPS-Source,2000
voltage control,wind farm,4,EPS-Source,EPS-Source,2000
wind power generation,wind farm,4,EPS-Source,EPS-Source,2000
Compressed air energy storage,energy storage,7,EPS-Source,EPS-Source,2000
wind power generation,autonomous frequency,4,EPS-Source,EPS-Source,2000
frequency regulation,autonomous frequency,4,EPS-Source,EPS-Source,2000
controllable load,autonomous frequency,4,EPS-Source,EPS-Source,2000
electric water heater,autonomous frequency,4,IOT-Network,EPS-Source,2000
downward reserve,autonomous frequency,4,EPS-Source,EPS-Source,2000
Distributed generation,PV,30,EPS-Source,EPS-Source,2000
fuel cell,PV,12,EPS-Source,EPS-Source,2000
hybrid system,PV,10,EPS-Source,EPS-Source,2000
microgrid,PV,58,EPS-Source,EPS-Source,2000
photovoltaic,PV,45,EPS-Source,EPS-Source,2000
power management,PV,18,EPS-Load,EPS-Source,2000
fuzzy logic,DG,8,IOT-Network,EPS-Source,2000
microgrid,DG,11,EPS-Source,EPS-Source,2000
Micro-Grid,MG,13,EPS-Source,EPS-Load,2000
Islanding,MG,7,EPS-Source,EPS-Load,2000
Fuzzy pitch controller,MG,4,EPS-Source,EPS-Load,2000
Wind power smoothing,MG,7,EPS-Source,EPS-Load,2000
Ultra capacitor,MG,4,EPS-Source,EPS-Load,2000
Distributed Generation,distributed generation units,6,EPS-Source,EPS-Source,2000
Microgrid,distributed generation units,6,EPS-Source,EPS-Source,2000
Microturbine,distributed generation units,6,EPS-Source,EPS-Source,2000
Fuel Cell,distributed generation units,6,EPS-Source,EPS-Source,2000
Photovoltaic,distributed generation units,6,EPS-Store,EPS-Source,2000
Inverter,distributed generation units,6,EPS-Source,EPS-Source,2000
Micro-Grid,CO2,6,EPS-Source,EPS-Source,2000
house,CO2,6,EPS-Source,EPS-Source,2000
dispersed generator,CO2,6,EPS-Source,EPS-Source,2000
cogeneration,CO2,6,EPS-Source,EPS-Source,2000
fuel cell,CO2,6,EPS-Source,EPS-Source,2000
demand and supply,CO2,6,EPS-Source,EPS-Source,2000
planning,CO2,6,EPS-Source,EPS-Source,2000
CO2 emissions,CO2,6,IOT-Network,EPS-Source,2000
distributed generation,distributed generation units,5,EPS-Source,EPS-Source,2000
smart grid,DC,41,EPS-Source,EPS-Source,2000
dc distribution,DC,10,EPS-Source,EPS-Source,2000
droop characteristic,DC,10,EPS-Source,EPS-Source,2000
controllable loads,DC,10,EPS-Source,EPS-Source,2000
Distributed generation,DC,13,EPS-Source,EPS-Source,2000
DC Micro-grid,DC,17,EPS-Source,EPS-Source,2000
Energy Management,DC,12,EPS-Load,EPS-Source,2000
Wind Power Generation,DC,9,EPS-Source,EPS-Source,2000
Photo-Voltaic Generation,DC,9,EPS-Source,EPS-Source,2000
Fuel Cell Generation,DC,9,EPS-Source,EPS-Source,2000
Energy Storage,DC,9,EPS-Source,EPS-Source,2000
Super-Capacitor,DC,6,EPS-Source,EPS-Source,2000
photovoltaic power generation,PV,6,EPS-Source,EPS-Source,2000
NaS battery,PV,6,EPS-Source,EPS-Source,2000
supply-demand power imbalance over 30-min,PV,6,EPS-Source,EPS-Source,2000
Wind Power,ISO,4,EPS-Store,IOT-Percept,2000
MSS,energy storage,9,EPS-Source,EPS-Source,2000
Micro-storage system,energy storage,9,EPS-Source,EPS-Source,2000
DG,energy storage,21,EPS-Source,EPS-Source,2000
distributed generation,energy storage,15,EPS-Source,EPS-Source,2000
PV,energy storage,31,EPS-Source,EPS-Source,2000
photovoltaic,energy storage,11,EPS-Source,EPS-Source,2000
SM,energy storage,9,EPS-Source,EPS-Source,2000
smart meter,energy storage,11,EPS-Source,EPS-Source,2000
SCADA,energy storage,9,EPS-Source,EPS-Source,2000
supervisory control and data acquisition,energy storage,9,EPS-Source,EPS-Source,2000
smart grid,AC,6,EPS-Source,EPS-Load,2000
dc distribution,AC,4,EPS-Source,EPS-Load,2000
droop characteristic,AC,4,EPS-Source,EPS-Load,2000
controllable loads,AC,4,EPS-Source,EPS-Load,2000
distributed generation,AC,6,EPS-Source,EPS-Load,2000
droop control,AC,4,EPS-Source,EPS-Load,2000
energy management,AC,4,EPS-Store,EPS-Load,2000
microgrid,AC,6,EPS-Source,EPS-Load,2000
smart grid,power dispatch,6,EPS-Source,IOT-Percept,2000
distribution networks,AC,4,EPS-Source,EPS-Load,2000
PQ control,energy storage,4,EPS-Source,EPS-Source,2000
droop control,energy storage,4,EPS-Source,EPS-Source,2000
Smart Grid,power quality,11,EPS-Source,EPS-Source,2000
Power Quality,power quality,37,EPS-Source,EPS-Source,2000
p-q Theory,energy storage,4,EPS-Source,EPS-Source,2000
instantaneous power,energy storage,4,EPS-Source,EPS-Source,2000
active filter,energy storage,4,EPS-Source,EPS-Source,2000
power conditioner,energy storage,4,EPS-Source,EPS-Source,2000
micro-grids,energy storage,4,EPS-Source,EPS-Source,2000
weak electrical systems,energy storage,4,EPS-Source,EPS-Source,2000
Control,DG,4,EPS-Store,EPS-Source,2000
FC,DG,4,EPS-Grid,EPS-Source,2000
fuel cell,DG,4,EPS-Source,EPS-Source,2000
hybrid system,DG,4,EPS-Source,EPS-Source,2000
smart grid,DG,14,EPS-Source,EPS-Source,2000
voltage sag,DG,4,EPS-Source,EPS-Source,2000
Bidirectional operation,power management,4,EPS-Source,EPS-Load,2000
CNT,power management,4,EPS-Source,EPS-Load,2000
carbon nanotube,power management,4,EPS-Source,EPS-Load,2000
DVS,power management,4,EPS-Source,EPS-Load,2000
dynamic voltage scaling,power management,4,EPS-Source,EPS-Load,2000
energy storage,power management,7,EPS-Source,EPS-Load,2000
heterogeneous integration,power management,4,EPS-Source,EPS-Load,2000
microgrid,power management,15,EPS-Source,EPS-Load,2000
supercapacitor,power management,7,IOT-Percept,EPS-Load,2000
WSN,power management,4,IOT-Network,EPS-Load,2000
wireless sensor node,power management,4,IOT-App,EPS-Load,2000
Direct current vector control,HVdc,4,EPS-Source,EPS-Source,2000
HVdc converter,HVdc,4,EPS-Source,EPS-Source,2000
HVdc transmission,HVdc,4,EPS-Source,EPS-Source,2000
optimal control,HVdc,4,EPS-Source,EPS-Source,2000
voltage source converter,HVdc,4,EPS-Source,EPS-Source,2000
smart grid,smart grids,33,EPS-Source,EPS-Source,2000
Distributed Generation,DG,18,EPS-Source,EPS-Source,2000
Transient Stability,DG,7,EPS-Source,EPS-Source,2000
Rotor Angle,DG,7,EPS-Source,EPS-Source,2000
Voltage Stability,DG,7,EPS-Source,EPS-Source,2000
Synchronous Generator,DG,7,EPS-Source,EPS-Source,2000
Short Circuit Fault,DG,7,EPS-Source,EPS-Source,2000
Internet of Things,IoT,219,IOT-App,IOT-App,2000
Smart Grid,IoT,10,EPS-Source,IOT-App,2000
Wireless Sensor Network,IoT,10,IOT-App,IOT-App,2000
ANFIS,Transmission line,4,EPS-Source,EPS-Source,2000
Adaptive Neuro Fuzzy Inference system,Transmission line,4,EPS-Source,EPS-Source,2000
Artificial Intelligent Approach,Transmission line,4,EPS-Source,EPS-Source,2000
Fault Detection,Transmission line,4,EPS-Source,EPS-Source,2000
Fault Classification,Transmission line,4,EPS-Source,EPS-Source,2000
Fault location,Transmission line,4,EPS-Source,EPS-Source,2000
smart grid,power line,13,EPS-Source,EPS-Source,2000
MicroGrid,DG,5,EPS-Source,EPS-Source,2000
Optimal unit sizing,DG,5,EPS-Source,EPS-Source,2000
Cost of energy,DG,5,EPS-Source,EPS-Source,2000
Hybrid renewable energy systems,DG,5,EPS-Source,EPS-Source,2000
Genetic algorithm,DG,5,EPS-Source,EPS-Source,2000
Smart Grid,QoS,12,EPS-Source,IOT-App,2000
Smart Grid,PLC,4,EPS-Source,EPS-Load,2000
Smart Grid,power line,10,EPS-Source,EPS-Source,2000
PLC,power line,4,EPS-Load,EPS-Source,2000
Smart Grid,IEC,6,EPS-Source,EPS-Source,2000
PLC,IEC,4,EPS-Load,EPS-Source,2000
Power Line Communications,IEC,4,EPS-Source,EPS-Source,2000
Routing algorithms,IEC,4,EPS-Source,EPS-Source,2000
Geographic routing,IEC,4,IOT-App,EPS-Source,2000
Smart Grid,energy storage,28,EPS-Source,EPS-Source,2000
Renewable Energy,energy storage,14,EPS-Source,EPS-Source,2000
Energy Storage,energy storage,10,EPS-Source,EPS-Source,2000
FACTS,energy storage,6,EPS-Source,EPS-Source,2000
HVDC,energy storage,6,EPS-Source,EPS-Source,2000
Smart Grid,PJM,4,EPS-Source,EPS-Source,2000
Phasor Measurement Unit,PJM,4,EPS-Source,EPS-Source,2000
Demand Response,PJM,4,EPS-Source,EPS-Source,2000
Regional Transmission Expansion Planning,PJM,4,EPS-Source,EPS-Source,2000
Smart grid,smart grids,48,EPS-Source,EPS-Source,2000
harmonic losses,smart grids,9,EPS-Source,EPS-Source,2000
K-factor,smart grids,9,EPS-Source,EPS-Source,2000
load management and nonlinear transformer,smart grids,9,EPS-Source,EPS-Source,2000
Smart grid,power quality,17,EPS-Source,EPS-Source,2000
harmonic losses,power quality,12,EPS-Source,EPS-Source,2000
K-factor,power quality,12,EPS-Source,EPS-Source,2000
load management and nonlinear transformer,power quality,12,EPS-Source,EPS-Source,2000
Optimal power flow,optimal power flow,10,EPS-Source,EPS-Source,2000
HVDC light,HVDC,6,EPS-Source,EPS-Source,2000
voltage source converter,HVDC,6,EPS-Source,EPS-Source,2000
decoupled d-q vector control,HVDC,6,EPS-Source,EPS-Source,2000
power transfer control,HVDC,6,EPS-Source,EPS-Source,2000
reactive power control,HVDC,6,EPS-Source,EPS-Source,2000
grid voltage support control,HVDC,6,EPS-Source,EPS-Source,2000
modeling and simulation,HVDC,6,EPS-Source,EPS-Source,2000
Distributed Generation,energy storage,8,EPS-Source,EPS-Source,2000
Particle Swarm Optimization,energy storage,4,EPS-Store,EPS-Source,2000
Smart Grid,MG,4,EPS-Source,EPS-Load,2000
Smart Grid,BESS,4,EPS-Source,IOT-Network,2000
Smart grids,power quality,4,EPS-Load,EPS-Source,2000
load forecast,STLF,4,EPS-Source,EPS-Source,2000
Smart meters,smart grids,5,EPS-Source,EPS-Source,2000
smart meters,smart meter,23,EPS-Source,EPS-Source,2000
data center,smart meter,5,IOT-App,EPS-Source,2000
cloud computing,smart meter,7,IOT-App,EPS-Source,2000
workload movement,smart meter,5,EPS-Source,EPS-Source,2000
Service Level Aggressment,smart meter,5,EPS-Source,EPS-Source,2000
Service Level Objectives,smart meter,5,EPS-Source,EPS-Source,2000
demand response,DR,66,EPS-Source,EPS-Source,2000
distribution management system,DR,5,EPS-Source,EPS-Source,2000
smart grid,DR,35,EPS-Source,EPS-Source,2000
advanced metering infrastructure,DR,5,EPS-Source,EPS-Source,2000
Smart grid,renewable energy resources,4,EPS-Source,EPS-Source,2000
renewable energy,renewable energy resources,6,EPS-Source,EPS-Source,2000
Demand Response,smart grids,9,EPS-Source,EPS-Source,2000
Demand Response,DR,25,EPS-Source,EPS-Source,2000
Smart Grid,DR,28,EPS-Source,EPS-Source,2000
demand response,smart grids,4,EPS-Source,EPS-Source,2000
Smart Meter,smart meter,16,EPS-Source,EPS-Source,2000
Thin C/S,smart meter,4,EPS-Source,EPS-Source,2000
Control Server,smart meter,4,EPS-Source,EPS-Source,2000
Mesh-WiFi,smart meter,4,EPS-Source,EPS-Source,2000
energy storage,FPGA,5,EPS-Source,EPS-Store,2000
smart grids,SG,4,EPS-Source,EPS-Source,2000
ZigBee,SG,4,EPS-Store,EPS-Source,2000
Smart meters,power quality,4,EPS-Source,EPS-Source,2000
microgrid,power quality,8,EPS-Source,EPS-Source,2000
EV charging,power quality,4,IOT-Network,EPS-Source,2000
FFTW,power quality,4,EPS-Source,EPS-Source,2000
DWPT,power quality,4,EPS-Source,EPS-Source,2000
ZigBee,power quality,4,EPS-Store,EPS-Source,2000
plug-in hybrid electric vehicle,hybrid electric vehicles,9,EPS-Source,IOT-Network,2000
Microgrid,power quality,10,EPS-Source,EPS-Source,2000
Power quality,power quality,17,EPS-Source,EPS-Source,2000
microgrid,DC,26,EPS-Source,EPS-Source,2000
distributed generation,DC,25,EPS-Source,EPS-Source,2000
DC distribution,DC,14,EPS-Source,EPS-Source,2000
high-quality power,DC,7,EPS-Source,EPS-Source,2000
Electric vehicles,electric vehicle,7,EPS-Grid,EPS-Source,2000
Plug-in electric vehicle,PEVs,13,EPS-Source,EPS-Grid,2000
Smart Grid,vehicle-to-grid,5,EPS-Source,EPS-Store,2000
Vehicle-to-Grid,vehicle-to-grid,7,EPS-Source,EPS-Store,2000
smart grid,hybrid electric vehicles,4,EPS-Source,IOT-Network,2000
vehicle to grid,hybrid electric vehicles,4,EPS-Source,IOT-Network,2000
smart grid,PHEVs,17,EPS-Source,EPS-Load,2000
vehicle to grid,PHEVs,10,EPS-Source,EPS-Load,2000
electric vehicle,EVs,18,EPS-Source,IOT-Network,2000
vehicle-to-grid,EVs,8,EPS-Store,IOT-Network,2000
smart grid,EVs,33,EPS-Source,IOT-Network,2000
DC micro-grid,energy storage,6,EPS-Store,EPS-Source,2000
Electric vehicle,energy storage,4,EPS-Store,EPS-Source,2000
Battery energy storage,energy storage,6,IOT-Network,EPS-Source,2000
microgrids,energy storage,9,EPS-Source,EPS-Source,2000
Battery energy storage,dynamic economic dispatch,4,IOT-Network,EPS-Source,2000
dynamic systems,dynamic economic dispatch,4,EPS-Source,EPS-Source,2000
economic dispatch,dynamic economic dispatch,4,IOT-Network,EPS-Source,2000
microgrids,dynamic economic dispatch,4,EPS-Source,EPS-Source,2000
Battery Energy Storage System,energy storage system,9,EPS-Source,EPS-Load,2000
Battery Energy Storage System,energy storage,6,EPS-Source,EPS-Source,2000
Battery Management System,energy storage,6,EPS-Source,EPS-Source,2000
Smart grid,PV,7,EPS-Source,EPS-Source,2000
PV power generation,PV,7,EPS-Source,EPS-Source,2000
Bidirectional DC-DC converter,energy storage,4,EPS-Source,EPS-Source,2000
RFID Context,IoT,8,EPS-Source,IOT-App,2000
service selection,IoT,8,EPS-Source,IOT-App,2000
RFID middleware,IoT,8,EPS-Source,IOT-App,2000
Internet of things,IoT,63,IOT-App,IOT-App,2000
Resource constraint,IoT,8,EPS-Source,IOT-App,2000
mobile rfid,QoS,6,EPS-Source,IOT-App,2000
internet of things,QoS,6,EPS-Store,IOT-App,2000
GDMQoS,QoS,6,EPS-Source,IOT-App,2000
Resource constraint,QoS,6,EPS-Source,IOT-App,2000
Ambient Assisted Living,IoT,4,EPS-Source,IOT-App,2000
6LoWPAN,IoT,13,EPS-Store,IOT-App,2000
RFID,IoT,30,IOT-Network,IOT-App,2000
NFC,IoT,8,EPS-Source,IOT-App,2000
mobility,IoT,4,IOT-App,IOT-App,2000
security,IoT,19,IOT-App,IOT-App,2000
hospital,IoT,4,EPS-Source,IOT-App,2000
Internet of things,SIM,4,IOT-App,EPS-Source,2000
Ambient Assisted Living,SIM,4,EPS-Source,EPS-Source,2000
6LoWPAN,SIM,4,EPS-Store,EPS-Source,2000
RFID,SIM,4,IOT-Network,EPS-Source,2000
NFC,SIM,6,EPS-Source,EPS-Source,2000
mobility,SIM,4,IOT-App,EPS-Source,2000
security,SIM,4,IOT-App,EPS-Source,2000
hospital,SIM,4,EPS-Source,EPS-Source,2000
security architecture,IoT,4,EPS-Source,IOT-App,2000
wireless sensor network,IoT,27,EPS-Store,IOT-App,2000
Business Process Management,BPM,8,EPS-Source,EPS-Source,2000
BPM-in-the-Large,BPM,8,EPS-Source,EPS-Source,2000
abstraction,BPM,8,EPS-Source,EPS-Source,2000
complexity,BPM,8,EPS-Source,EPS-Source,2000
Programming-in-the-Large,BPM,8,EPS-Source,EPS-Source,2000
sensor networks,IoT,7,EPS-Store,IOT-App,2000
the Internet of the Things,IoT,4,EPS-Source,IOT-App,2000
machine-to-machine,IoT,4,EPS-Source,IOT-App,2000
heterogeneous network,IoT,4,EPS-Store,IOT-App,2000
resource management,IoT,4,EPS-Load,IOT-App,2000
wireless sensor networks,IPv6,4,IOT-App,EPS-Store,2000
IOT,the Internet of things,4,EPS-Store,IOT-App,2000
WSN,the Internet of things,4,IOT-Network,IOT-App,2000
wireless sensor network,the Internet of things,4,EPS-Store,IOT-App,2000
the Internet of Things,Internet of Things,6,EPS-Grid,IOT-App,2000
wireless sensor networks,Internet of Things,10,IOT-App,IOT-App,2000
routing metric algorithm,Internet of Things,4,EPS-Source,IOT-App,2000
reliability,Internet of Things,4,IOT-App,IOT-App,2000
wireless sensor network,HSS,6,EPS-Store,EPS-Source,2000
home sensor system,HSS,6,EPS-Source,EPS-Source,2000
security,HSS,6,IOT-App,EPS-Source,2000
privacy,HSS,6,IOT-App,EPS-Source,2000
Cloud computing,IoT,20,IOT-App,IOT-App,2000
ubiquitous networking,IoT,4,EPS-Source,IOT-App,2000
future Internet,IoT,4,EPS-Source,IOT-App,2000
Internet of things,Internet of Things,9,IOT-App,IOT-App,2000
MG,energy storage,6,EPS-Load,EPS-Source,2000
Microgrid,energy storage,29,EPS-Source,EPS-Source,2000
Distributed generation,energy storage,10,EPS-Source,EPS-Source,2000
Energy management,PV,10,IOT-Network,EPS-Source,2000
Smart grids,smart grids,8,EPS-Load,EPS-Source,2000
Regulation,smart grids,4,EPS-Source,EPS-Source,2000
Investments,smart grids,4,EPS-Source,EPS-Source,2000
Fuel cell,DC,10,EPS-Source,EPS-Source,2000
Direct-current,DC,4,EPS-Source,EPS-Source,2000
Power distribution,DC,4,IOT-Network,EPS-Source,2000
Micro grid,DC,4,EPS-Source,EPS-Source,2000
Residential,DC,4,EPS-Source,EPS-Source,2000
voltage control,DG,5,EPS-Source,EPS-Source,2000
Benders decomposition,EPS,7,EPS-Source,EPS-Source,2000
Electric power system,EPS,5,EPS-Source,EPS-Source,2000
Natural gas system,EPS,5,EPS-Source,EPS-Source,2000
Optimization,EPS,5,EPS-Source,EPS-Source,2000
power sharing,DC,5,EPS-Source,EPS-Source,2000
micro grid,micro grids,4,EPS-Source,IOT-Percept,2000
DC microgrid,DC,49,EPS-Source,EPS-Source,2000
renewable energy sources,DC,19,EPS-Source,EPS-Source,2000
PCS,energy storage,4,EPS-Source,EPS-Source,2000
SMES,energy storage,4,IOT-Compute,EPS-Source,2000
superconducting magnetic energy storage,energy storage,4,EPS-Source,EPS-Source,2000
Distributed generation,DG,15,EPS-Source,EPS-Source,2000
distribution management system,DG,4,EPS-Source,EPS-Source,2000
distribution system planning,DG,4,EPS-Source,EPS-Source,2000
feeder reconfiguration,DG,4,EPS-Source,EPS-Source,2000
particle swarm optimization,DG,4,IOT-App,EPS-Source,2000
renewable energy,DG,6,EPS-Source,EPS-Source,2000
voltage/var control,DG,4,EPS-Source,EPS-Source,2000
optimal power flow,DG,4,EPS-Source,EPS-Source,2000
smart grids,DG,5,EPS-Source,EPS-Source,2000
cyber-physical power infrastructure,power infrastructure,9,EPS-Grid,EPS-Grid,2000
demand management,power infrastructure,9,EPS-Grid,EPS-Grid,2000
PHEV,power infrastructure,9,EPS-Grid,EPS-Grid,2000
smart grid,power infrastructure,9,EPS-Source,EPS-Grid,2000
Smart grid,smart microgrid,4,EPS-Source,EPS-Source,2000
microgrid,smart microgrid,4,EPS-Source,EPS-Source,2000
demand response,smart microgrid,4,EPS-Source,EPS-Source,2000
distributed generation,smart microgrid,4,EPS-Source,EPS-Source,2000
particle swarm optimization,smart microgrid,4,IOT-App,EPS-Source,2000
Q-learning,smart microgrid,4,IOT-Compute,EPS-Source,2000
Forward operating base,PV,4,EPS-Grid,EPS-Source,2000
Microgrid,PV,37,EPS-Source,EPS-Source,2000
HOMER Energy,PV,4,EPS-Grid,EPS-Source,2000
Supply chain,PV,4,EPS-Grid,EPS-Source,2000
Electric power generation,MG,4,EPS-Grid,EPS-Load,2000
Energy supply systems,MG,4,EPS-Grid,EPS-Load,2000
Control technology,MG,4,EPS-Grid,EPS-Load,2000
Protection,DC,8,EPS-Grid,EPS-Source,2000
Distributed Generation,DC,6,EPS-Source,EPS-Source,2000
Abnormal Operating Condition,DC,6,EPS-Grid,EPS-Source,2000
Active distribution system,symmetrical component frame power system,4,EPS-Grid,EPS-Grid,2000
three-phase power-flow,symmetrical component frame power system,4,EPS-Grid,EPS-Grid,2000
power system modeling,symmetrical component frame power system,4,EPS-Grid,EPS-Grid,2000
distributed energy resources,symmetrical component frame power system,4,IOT-Compute,EPS-Grid,2000
and parallel processing,symmetrical component frame power system,4,EPS-Grid,EPS-Grid,2000
dc network,DC,4,EPS-Grid,EPS-Source,2000
demand offsetting,DC,4,EPS-Grid,EPS-Source,2000
intelligent demand management,DC,4,EPS-Grid,EPS-Source,2000
micro-generation,DC,4,EPS-Grid,EPS-Source,2000
PV power system,LV,4,EPS-Grid,EPS-Load,2000
Micro-grid technology,LV,4,EPS-Grid,EPS-Load,2000
energy management,LV,4,EPS-Store,EPS-Load,2000
Wind energy generation system,three phase,4,EPS-Grid,EPS-Grid,2000
doubly fed induction generator,three phase,4,EPS-Store,EPS-Grid,2000
micro-grid,three phase,4,EPS-Store,EPS-Grid,2000
stability boundaries,three phase,4,EPS-Grid,EPS-Grid,2000
microgrid control,DR,4,EPS-Grid,EPS-Source,2000
wind power,DR,4,EPS-Source,EPS-Source,2000
distributed energy resources,DR,4,IOT-Compute,EPS-Source,2000
centralized control,DR,4,EPS-Source,EPS-Source,2000
decentralized control,DR,4,EPS-Source,EPS-Source,2000
Distributed power generation,India,9,EPS-Grid,EPS-Grid,2000
Electric vehicles,India,9,EPS-Grid,EPS-Grid,2000
Electricity,India,9,EPS-Grid,EPS-Grid,2000
Energy storage,India,11,EPS-Source,EPS-Grid,2000
Hydroelectric power generation,India,9,EPS-Grid,EPS-Grid,2000
Real time systems,India,9,EPS-Grid,EPS-Grid,2000
Rivers,India,9,EPS-Grid,EPS-Grid,2000
Smart grids,India,9,EPS-Load,EPS-Grid,2000
Transmission lines,India,9,EPS-Grid,EPS-Grid,2000
Transportation,India,9,EPS-Grid,EPS-Grid,2000
Distributed power generation,EVs,6,EPS-Grid,IOT-Network,2000
Electric vehicles,EVs,29,EPS-Grid,IOT-Network,2000
Electricity,EVs,6,EPS-Grid,IOT-Network,2000
Energy storage,EVs,13,EPS-Source,IOT-Network,2000
Hydroelectric power generation,EVs,6,EPS-Grid,IOT-Network,2000
Real time systems,EVs,6,EPS-Grid,IOT-Network,2000
Rivers,EVs,6,EPS-Grid,IOT-Network,2000
Smart grids,EVs,9,EPS-Load,IOT-Network,2000
Transmission lines,EVs,6,EPS-Grid,IOT-Network,2000
Transportation,EVs,6,EPS-Grid,IOT-Network,2000
Energy storage system,energy storage,9,EPS-Grid,EPS-Source,2000
Plug-in Hybrid Electrical Vehicle,PHEV,4,EPS-Grid,EPS-Grid,2000
smart load management,PHEV,4,EPS-Grid,EPS-Grid,2000
smart grid,PHEV,4,EPS-Source,EPS-Grid,2000
wireless communications,PHEV,4,EPS-Source,EPS-Grid,2000
micro-grid system,automatic generation control,4,EPS-Grid,EPS-Grid,2000
automatic generation system,automatic generation control,4,EPS-Grid,EPS-Grid,2000
