YEAR,DOMS,COUNT,SN,TN
2000,EPS-Load,6.0,feedback sequence voltage,secondary frequency
2000,IOT-App,7.0,hyper-connected IoT,IoT
2000,IOT-App,6.0,ORS,load management
2000,IOT-App,12.0,Chirp modulation,LoRa
2000,EPS-Load,6.0,energy storage sizing,PV
2000,IOT-App,6.0,intelligent computing,IoT
2000,IOT-App,6.0,Constructive interference,FLEET
2000,IOT-App,10.0,Instruments,IoT
2000,IOT-App,9.0,Localization,OCC
2000,EPS-Store,7.0,Python,IoT
2000,EPS-Grid,8.0,WiFi-based WSN,IoT
2000,EPS-Store,12.0,IOT,Internet of Things
2000,IOT-Network,6.0,fault localization,DC
2000,IOT-App,9.0,Telecommunications,MEC
2000,EPS-Store,8.0,Events management,IoT
2000,EPS-Grid,6.0,Smart homes,power line
2000,EPS-Load,6.0,solar intermittency,PV
2000,EPS-Load,12.0,Mixed-integer linear programming,residential microgrid
2000,EPS-Store,6.0,Battery Charging,DC
2000,IOT-Percept,6.0,MCDM,DG
2000,EPS-Source,6.0,Photovoltaic,power management
2000,EPS-Store,6.0,benchmark,IoT
2000,EPS-Source,9.0,SM,energy storage
2000,IOT-Network,9.0,Residual energy,DUCF
2000,EPS-Store,8.0,Product lifecycle management,IoT
2000,EPS-Grid,6.0,IEEE 802.11 Wireless LAN,LAN
2000,EPS-Load,6.0,optimal distributed generation operation,MG
2000,IOT-Network,12.0,joint communication and computation optimization,IoT
2000,IOT-Compute,8.0,grid connected,VSC
2000,IOT-Network,6.0,Sustainable,DC
2000,IOT-App,12.0,Mobile sink,IoT
2000,IOT-Network,7.0,confidentiality,5G
2000,IOT-Compute,6.0,Self-healing protection,SSR
2000,IOT-App,8.0,FDM(Frequency Division Multiplex),eMTC
2000,IOT-App,6.0,smart homes,power meter
2000,IOT-App,6.0,coverage enhancement,RAP
2000,IOT-Percept,10.0,bi-directional voltage source converter,DC
2000,IOT-App,14.0,gas sensor,LPG
2000,IOT-App,6.0,MCS selection,LAN
2000,IOT-App,10.0,queen honey bee migration algorithm,IoT
2000,IOT-Network,6.0,SDN,SOAP
2000,EPS-Store,6.0,multi-user detection,D2D
2000,EPS-Source,6.0,grid loading,energy storage
2000,IOT-Network,6.0,fifth-generation,DEBTS
2000,IOT-App,6.0,Mobile edge cloud,wireless communication
2000,IOT-App,6.0,Lagrange,Internet of Things
2000,IOT-Network,8.0,Intelligent Building,IoT
2000,IOT-App,6.0,Value of information,SPF
2000,EPS-Source,10.0,Sub-aggregator,DR
2000,IOT-App,14.0,continuous monitoring,IoT
2000,IOT-App,6.0,Accountability,IoT
2000,IOT-Compute,6.0,disturbance observer,dc microgrid
2000,IOT-Network,6.0,Blackhole Attacks,LLN
2000,IOT-App,6.0,Feed Behavior,5G
2000,IOT-App,32.0,Software defined networking,IoT
2000,EPS-Store,6.0,Emergency communication system,ECS
2000,IOT-App,6.0,anomaly detection,IoT
2000,EPS-Grid,6.0,file repository,RFID
2000,IOT-Network,6.0,CC3100,ECG
2000,IOT-App,8.0,fault detection,wireless sensor networks
2000,IOT-App,6.0,Visual programming,IoT
2000,EPS-Load,6.0,software defined networks for sensor nodes,WSN
2000,IOT-App,6.0,Internet-of-Things,P2M
2000,IOT-Compute,8.0,microgrids,SMES
2000,EPS-Load,9.0,Internet of Things,wireless networks
2000,IOT-App,6.0,intelligent transportation,IoV
2000,IOT-App,9.0,electrocardiogram,WBAN
2000,IOT-Network,6.0,selfish adversary,BLE
2000,EPS-Store,6.0,wavelet,network communication
2000,IOT-Network,14.0,GPS,IoT
2000,EPS-Grid,6.0,interpolling interval,IoT
2000,EPS-Source,8.0,IoT-based,IoT
2000,IOT-App,6.0,physical security,IoT
2000,EPS-Store,18.0,SDN,IoT
2000,EPS-Load,6.0,Wireless connectivity,IoT
2000,IOT-Compute,6.0,additive communication noise,ED
2000,IOT-Network,6.0,indirectly-controlled charging,PHEV
2000,IOT-App,6.0,Internet of Things,ESI
2000,EPS-Grid,6.0,Combination information system,GPRS
2000,IOT-Network,6.0,capture effect,SUN
2000,IOT-App,17.0,Probing,IoT
2000,IOT-App,6.0,off-line keyword guessing attack,KGA
2000,EPS-Grid,12.0,Human-to-Human communication,M2M
2000,IOT-Network,6.0,Communication Complexity,BA
2000,IOT-App,6.0,RF-DC converter,WPT
2000,IOT-Network,6.0,MSP430,ECG
2000,EPS-Source,6.0,reactive power control,HVDC
2000,IOT-App,7.0,Smart cities,Wi-Fi
2000,EPS-Source,8.0,destabilising effect mitigation,DC
2000,EPS-Grid,6.0,security,CS
2000,IOT-App,15.0,Disaster situations,P2P
2000,IOT-App,12.0,3rd Generation partnership project,M2M
2000,IOT-Network,6.0,Pattern obfuscation,IoT
2000,IOT-App,6.0,Internet of Things,Long Range Wide Area Network
2000,IOT-App,6.0,Node capturing attack,IoT
2000,EPS-Load,6.0,uncertainties,MG
2000,EPS-Store,6.0,Wireless Sensor Network,network communication
2000,EPS-Store,11.0,Sensor Data,IoT
2000,IOT-Network,12.0,Solar photovoltaic,DC
2000,IOT-Network,9.0,distribution network covering the load profile,PV
2000,EPS-Store,6.0,Connected vehicle,IF
2000,EPS-Load,16.0,Combined heat and power,PV
2000,IOT-Network,6.0,5G Systems,5G
2000,IOT-App,6.0,Deep learning,SPARCE
2000,EPS-Load,6.0,solar,EVs
2000,IOT-App,6.0,antenna,RF
2000,EPS-Load,6.0,coupling bus reactive power,VSC
2000,IOT-App,10.0,Battery charge measurement,IoT
2000,IOT-App,6.0,smart agriculture,LPWA
2000,EPS-Store,6.0,comfort,HVAC
2000,EPS-Store,6.0,smart phone sensing,IoT
2000,EPS-Grid,6.0,Internet of Things IOT,GPRS
2000,EPS-Load,8.0,Smart Grid,CO2
2000,EPS-Store,6.0,6LoWPAN,WSN
2000,IOT-App,6.0,IoT,SAFER
2000,IOT-App,6.0,Disaster recovery,IoT
2000,IOT-App,6.0,fog analytics,IoT
2000,IOT-Compute,6.0,electric impedance measurement,DC
2000,IOT-Compute,6.0,Charge control unit,PV
2000,EPS-Load,6.0,6LoPLC,PLC
2000,IOT-App,6.0,proportional fairness,mmWave
2000,IOT-Network,6.0,WEK4,loT
2000,IOT-App,6.0,simultaneous lightwave information and power transfer,SLIPT
2000,EPS-Grid,6.0,RFID,the Internet of things
2000,IOT-App,6.0,Radiometric identification,VMD
2000,EPS-Store,8.0,Addressing,IPv6
2000,IOT-App,10.0,Antenna measurements,IoT
2000,IOT-App,6.0,Data communication,IoV
2000,EPS-Store,8.0,monitoring,PV
2000,IOT-App,7.0,IoT,SIMD
2000,EPS-Source,9.0,analytics,IoT
2000,IOT-Compute,6.0,flexible demand,PVC
2000,IOT-App,6.0,DTF,MIDs
2000,IOT-Network,6.0,longterm,pumped storage
2000,EPS-Grid,8.0,power line communication,power line
2000,EPS-Source,12.0,Operation scheduling strategies,dynamic economic dispatch
2000,EPS-Store,6.0,Pervasive Computing,RGB
2000,IOT-App,6.0,NOMA,WBAN
2000,IOT-Network,7.0,Conergy,DC
2000,EPS-Store,6.0,aquaculture information system,IoT
2000,EPS-Store,6.0,DC bus,DC
2000,IOT-Network,9.0,spectrum allocation,IoT
2000,IOT-Network,6.0,Software architecture,IoT
2000,EPS-Store,6.0,HVAC control,PHEV
2000,IOT-App,9.0,IEEE 1459-2010,IoT
2000,EPS-Store,11.0,Virtual Machines,IoT
2000,IOT-App,10.0,Routing,IoT
2000,EPS-Load,6.0,Wireless sensor networks,RF
2000,EPS-Source,6.0,PHEV,hybrid electric vehicles
2000,EPS-Grid,7.0,HTS cable,HTS
2000,IOT-Network,6.0,Electric vehicle charging coordination,PEVs
