YEAR,DOMS,COUNT,SN,TN
2017,IOT-Compute,6.0,Hybrid Architecture,3D
2017,EPS-Load,7.0,Operation strategy,DR
2017,IOT-App,7.0,Just-in-sequence,Industry 4.0
2017,IOT-App,6.0,investigational method,RFID
2017,IOT-Network,6.0,Internet of Things,CS
2017,IOT-App,10.0,Digital signage,IoT
2017,EPS-Load,6.0,Inclining Block Rate,IBDR
2017,EPS-Source,8.0,Smart meter,PV
2017,EPS-Store,8.0,Microgrid,energy storage system
2017,IOT-Percept,22.0,IoT,RFID
2017,IOT-Network,6.0,CoAP,Internet of Things
2017,IOT-App,10.0,TOSCA,IoT
2017,IOT-Percept,7.0,LSTM,IoT
2017,IOT-Network,7.0,Wireless Sensor Network,IoT
2017,IOT-App,7.0,Social Internet of Things,Internet of Things
2017,IOT-Network,6.0,internet of things,RFID
2017,IOT-Network,6.0,optical networking,IoT
2017,EPS-Grid,6.0,condition-based maintenance,CM
2017,IOT-Percept,7.0,apache spark,IoT
2017,IOT-App,6.0,benchmark,IoT
2017,IOT-App,7.0,Powerline communication,IoT
2017,IOT-Network,6.0,machine-to-machine communications,M2M
2017,IOT-Network,6.0,Internet of Thing test-bed,IoT
2017,IOT-App,7.0,Agent-based modelling,IPU
2017,IOT-App,6.0,trust,IoT
2017,IOT-Network,10.0,Smart Objects,IoT
2017,IOT-App,6.0,data driven optimisation,TLS
2017,IOT-Network,6.0,WSN,TDMA
2017,EPS-Source,8.0,Net present value analysis,PV
2017,EPS-Load,6.0,residential and small commercial loads,DR
2017,EPS-Load,6.0,adaptive dynamic programming,CR
2017,IOT-App,7.0,Refinement process,IPU
2017,IOT-Network,7.0,loT,IoT
2017,IOT-App,8.0,ACT-R,IoT
2017,EPS-Source,7.0,optimization. E,PV
2017,EPS-Grid,6.0,maintenance interval,CM
2017,IOT-Network,7.0,Semantic network,TLS
2017,EPS-Load,7.0,Human factor,DR
2017,EPS-Source,7.0,nergy storage system,PV
2017,IOT-Network,6.0,optical switching,IoT
2017,EPS-Load,6.0,battery management,CR
2017,IOT-Percept,12.0,IoT,WSN
2017,IOT-Percept,6.0,event monitoring,ToA
