YEAR,DOMS,COUNT,SN,TN
2015,IOT-Percept,6.0,Cooperative communication,BS
2015,EPS-Grid,6.0,feedback sequence voltage,secondary frequency
2015,EPS-Load,6.0,Pilot project,LV
2015,IOT-Network,6.0,Sensor Observation Service,IoT
2015,EPS-Source,6.0,micro-grid,PV
2015,EPS-Load,7.0,implementation,DRM
2015,IOT-Percept,6.0,OBD2,CEP
2015,IOT-Percept,6.0,Wireless Sensor Network,IoT
2015,EPS-Source,10.0,ESS,energy storage
2015,IOT-Compute,6.0,Interoperable Data Processing,D2D
2015,IOT-Network,6.0,industry,IoT
2015,EPS-Source,7.0,LVDC,DC
2015,IOT-App,9.0,Cloud computing,Internet of Things
2015,EPS-Source,6.0,Photovoltaic generation,PV
2015,EPS-Grid,6.0,power generation faults,secondary frequency
2015,EPS-Source,7.0,Renewable energy,RE
2015,IOT-Network,6.0,LTE,UE
2015,EPS-Load,6.0,Power Quality,SMs
2015,EPS-Store,6.0,smart grid,energy storage system
2015,IOT-Network,20.0,M2M communication,M2M
2015,IOT-App,6.0,the Smarter Yellow River,Internet of Things
2015,IOT-App,7.0,Architecture,Internet of Things
2015,IOT-Network,6.0,protocols,IoT
2015,IOT-Network,6.0,multi-user detection,D2D
2015,IOT-App,6.0,education,IoT
2015,IOT-Network,6.0,Uplink Scheduling,M2M
2015,EPS-Grid,6.0,multiple distributed energy resources-based microgrid,secondary frequency
2015,EPS-Grid,7.0,power line communications,PLC
2015,EPS-Grid,6.0,feedback,secondary frequency
2015,IOT-App,11.0,information technology,IoT
2015,EPS-Source,10.0,energy storage system,DC
2015,IOT-Percept,6.0,Distributed beamforming,BS
2015,IOT-Network,25.0,IoT,wireless sensor networks
2015,IOT-Percept,6.0,Internet of Things,M2M
2015,IOT-Network,7.0,IoT,transmitter
2015,EPS-Source,6.0,power distribution,DC
2015,EPS-Source,6.0,planning,energy storage
2015,IOT-Percept,6.0,database,CNC
2015,IOT-Network,6.0,Kalman filter,IoT
2015,EPS-Load,14.0,Smart grid,DR
2015,EPS-Grid,6.0,power quality issues,secondary frequency
2015,EPS-Grid,6.0,threshold filter design,secondary frequency
2015,IOT-Percept,6.0,Vehicle Diagnostics,CEP
2015,EPS-Source,6.0,load shedding,power management
2015,EPS-Grid,7.0,Nakagami-m distribution,PLC
2015,IOT-App,10.0,ontology,IoT
2015,EPS-Grid,6.0,Automatic power control,AC
2015,IOT-Compute,6.0,IoT Data Gathering,D2D
2015,IOT-Network,9.0,BodyNet,BSNs
2015,EPS-Grid,7.0,Rician fading,PLC
2015,IOT-Percept,6.0,Data analysis,M2M
